unit_id,array_id,region,mean_SNR,mean_latency,mean_reliability,oracle_correlation
730,11,IT,1.5746935230633539,78.5,0.36412687554737816,0.5862603196784624
731,11,IT,0.36267133129213136,46.25,0.009109860436066429,0.033875572939238825
732,11,IT,0.9989739755853941,80.25,0.13778343785749506,0.3399620322560668
733,11,IT,1.71347510377149,74.0,0.32628694260129343,0.5523172672886936
734,11,IT,3.692289962441496,78.0,0.5608956449436511,0.7392218977228133
735,11,IT,2.1780577966308625,83.25,0.48899710965205795,0.6871343699305446
736,11,IT,0.4313760503695176,72.25,0.19414735222915439,0.4192594367000159
737,11,IT,1.1586617795201126,67.5,0.3751676346216004,0.5958896244786409
738,11,IT,1.720081339397601,77.0,0.3281154615048464,0.5538915975476291
739,11,IT,1.0792445612525252,78.5,0.10816616368672761,0.2935522496759294
740,11,IT,0.9127486187787869,79.25,0.08103620059273148,0.24338320262809693
741,11,IT,0.8624742851957833,64.25,0.09593127185740304,0.2698940427185228
742,11,IT,2.309568668537918,65.25,0.3471412491306155,0.5772698948645638
743,11,IT,2.098205533048895,77.25,0.34044846460686395,0.565155731447518
744,11,IT,1.6796150468811613,77.5,0.6120760526658756,0.7740298862038182
745,11,IT,1.5541166397201254,73.0,0.5058328341238343,0.6997644482718619
746,11,IT,1.2936250126016327,73.5,0.21393802904167347,0.43719257314499604
747,11,IT,1.3597790105259178,62.0,0.14419223413768673,0.346529061584708
748,11,IT,0.6206753976086916,51.75,0.024296962071674026,0.10396501319888476
749,11,IT,0.7172275686504541,78.25,0.0557214193283708,0.15611953162474768
750,11,IT,2.8223864541738735,75.5,0.36916992825496714,0.5904696701654524
751,11,IT,2.4951319470181246,75.0,0.46280348362229545,0.6671971835467224
752,11,IT,1.752567682088152,59.0,0.6200343915333285,0.7793410771759134
753,11,IT,1.6906344539763172,63.75,0.5289306337155654,0.7165872520321046
754,11,IT,1.6012934297792805,75.5,0.18552814199519632,0.4034313582585078
